Dish_Name,Diet_Type,Ingredients_Text
bengali mooli aloo ki sabzi  recipe,Vegetarian,"3 Mooli/ Mullangi (Radish) - cut into small piece,2 Potato (Aloo) - cut into small piece,1 Onion - chopped,1 Green Chilli - chopped,3 tablespoons Kasundi mustard sauce,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Kalonji (Onion Nigella Seeds),1 tablespoon Mustard oil - adjustable,1/2 teaspoon Sugar,Salt - to taste"
चकुंदर सांबर रेसिपी - beetroot sambar (recipe in hindi),High Protein Vegetarian,"1 चकुंदर - छीलकर काट ले,1 कप अरहर दाल,1-1/2 कप इमली का पानी,1 बड़ा चमच्च सांबर पाउडर,1 छोटा चमच्च राइ,हींग - चुटकी भर,5 कढ़ी पत्ता - काट ले,1 सुखी लाल मिर्च,1 छोटा चमच्च तिल का तेल,4 टहनी हरा धनिया - काट ले (गार्निश के लिए),नमक - स्वाद अनुसार"
kaddu palak roti recipe (pumpkin spinach flat bread),High Protein Vegetarian,"1 cup Whole Wheat Flour,1 cup Spinach - chopped,1 cup Kaddu (Parangikai/ Pumpkin) - grated (red one preferably),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Salt,Water - as required for dough,Sunflower Oil - as required for rotis"
iranian baida curry recipe,Eggetarian,"4 Whole Egg,1 Onion - chopped,1 tablespoon Jaggery,Salt - to taste,Sunflower Oil,1 sprig Coriander (Dhania) Leaves,1/4 cup Fresh coconut - grated,2 tablespoon Coriander (Dhania) Seeds,3 Dry Red Chilli,1 tablespoon Sesame seeds (Til seeds),1 tablespoon Poppy seeds,1 inch Ginger - chopped,5 cloves Garlic - chopped,8 Badam (Almond)"
vegan chickpea omelette recipe (spiced chickpea flour pancakes),High Protein Vegetarian,"1 cup Gram flour (besan),1/2 cup Coconut milk,3/4 cup Water,1 inch Ginger - grated,2 cloves Garlic - grated,1/2 teaspoon Ajwain (Carom seeds),1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Baking soda,2-3 Green Chillies - finely chopped,1 Onion - finely chopped,1 Tomato - finely chopped,Coriander (Dhania) Leaves - A handful finely chopped,Salt - to taste,Sunflower Oil - for cooking"
ulundu kozhukattai recipe - uppu kozhukattai/ urad dal modak,Vegetarian,"1 cup Rice flour,1 cup Water,1 teaspoon Sunflower Oil,1/4 teaspoon Salt,1 cups White Urad Dal (Whole) - soaked for 4 hours,2 Green Chillies - chopped,1 inch Ginger - chopped,1/4 teaspoon Asafoetida (hing),Salt - to taste,1 teaspoon Sesame (Gingelly) Oil,1 teaspoon Mustard seeds,1 sprig Curry leaves - finely chopped"
singapore style chicken layered fried rice recipe,Vegetarian,"300 grams Boneless chicken - cut into 1/2 inch cubed,2 Spring Onion Greens - finely chopped,2 Green Chillies - chopped,1 teaspoon Garlic - minced,1 tablespoons Soy sauce,1 tablespoon Lemon juice,1 teaspoon Black pepper powder,1/2 teaspoon Red Chilli powder,1/2 teaspoon Cumin powder (Jeera),1 tablespoon Red Chilli sauce,1 tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),Salt - to taste,1 tablespoon Red Chilli sauce,3 teaspoons Sunflower Oil,2 cups Rice - soaked for 10 minutes,1 tablespoons Garlic - crushed,1 tablespoons Ginger - crushed,2 Green Chillies - slit and roasted,1 Green Bell Pepper (Capsicum) - sliced,1 Spring Onion (Bulb & Greens) - chopped,1 Onions - cubed,1 Carrots (Gajjar) - cubed,Salt - to taste,1 teaspoon Chinese 5 Spice Powder,1 teaspoon White pepper powder,3 teaspoons Sunflower Oil,250 grams Egg noodles - boiled and tossed in a teaspoon oil,1/2 cup Classic Mayonnaise (With Egg),2 tablespoons Tomato Ketchup,2 tablespoons Red Chilli sauce,1 tablespoon Vinegar"
टोफू पुलाव रेसिपी - tofu pulao (recipe in hindi),Vegetarian,"1 कप चावल,2 बड़े चमच्च घी,1 छोटा चमच्च जीरा,1 तेज पत्ता,1 दाल चीनी,3 लॉन्ग,2 हरी मिर्च - काट ले,1 बड़ा चमच्च अदरक लहसुन का पेस्ट,2 प्याज - काट ले,2 टमाटर - काट ले,1/2 शिमला मिर्च (हरी) - लाल या पिली,1/2 छोटा चमच्च लाल मिर्च पाउडर,1/2 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च धनिया पाउडर,1/2 छोटा चमच्च गरम मसाला पाउडर,1 कप टोफू - काट ले,नमक - स्वाद अनुसार,हरा धनिया - गार्निश के लिए"
masala sandwich recipe with rocket leaves,Vegetarian,"100 grams Paneer (Homemade Cottage Cheese),2 Potatoes (Aloo) - boiled and mashed,1 Onion - julienned,1 inch Ginger - grated,2 cloves Garlic - grated,2 Green Bell Pepper (Capsicum) - julienned,3 Tomatoes - finely chopped,Pav bhaji masala - to taste,Salt - to taste,2 tablespoons Coriander (Dhania) Leaves - finely chopped,French bread - or rye bread to make sandwiches,Rocket leaves - or salad leaves for the sandwich"
tomato relish recipe,Vegetarian,"2 cups Tomatoes - chopped,1/2 Onion - finely chopped,1/2 cup Red Wine Vinaigrette,1/2 Dried oregano,2 cloves Garlic - minced,1/2 Black pepper powder,1/2 Dijon Mustard,3 tablespoon Cane sugar,2 to 3 tablespoons Extra Virgin Olive Oil,Salt - to taste"
dubuk vade recipe - khandeshi gram flour dumpling curry,Vegetarian,"2 Onions - finely chopped,4 cloves Garlic - chopped,1/4 cup Fresh coconut - grated,1/2 cup Coriander (Dhania) Leaves - chopped,1 teaspoon Cumin seeds (Jeera),1 tablespoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),3 tablespoon Garam masala powder,Salt - to taste,1/2 cup Gram flour (besan),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Salt - to taste"
radish soup recipe,Vegetarian,"8 Mooli/ Mullangi (Radish) - purple one,2 cups Water,1/4 teaspoon Garam masala powder,1/2 teaspoon Salt,1/2 teaspoon Black pepper powder,Mooli/ Mullangi (Radish) - slices,Coriander (Dhania) Leaves - as required for garnish (chopped)"
mango donut cake recipe with chocolate glaze,Vegetarian,"1-1/2 cups Vivatta Maida,3/4 cup Mango Pulp (Puree),1-1/2 teaspoons Baking powder,1/4 teaspoon Baking soda,1/4 cup Sunflower Oil,1/4 cup Sugar,1/4 teaspoon Salt,1 teaspoon Vanilla Extract,150 grams Dark chocolate - chopped,1/4 cup Fresh cream,2 tablespoons Cocoa Powder,3 Sugar - powdered"
matar paneer kachori korma recipe - green peas and paneer kachori curry,Vegetarian,"1 cup All Purpose Flour (Maida),2 tablespoons Sunflower Oil,1/2 teaspoons Ajwain (Carom seeds),Salt - to taste,Sunflower Oil - as required for frying,1 cup Green peas (Matar),1 cup Paneer (Homemade Cottage Cheese) - crumbled,1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Sunflower Oil,Salt and Pepper - to taste,1 cup Onion - chopped,1 cup Homemade tomato puree,1 teaspoon Ginger Garlic Paste,12 Whole cashews,1/2 cup Curd (Dahi / Yogurt),2 Cloves (Laung),1 Mace (Javitri),2 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Garam masala powder,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Sugar,Salt - to taste,Coriander (Dhania) Leaves - as required,Fresh cream - as required for garnishing,2 tablespoons Sunflower Oil"
zucchini roll up lasagne recipe,Vegetarian,"3 Green zucchini - thinly sliced,Salt - to taste,Extra Virgin Olive Oil - for cooking,1/2 cup Mozzarella cheese - grated,1-1/2 Green zucchini - finely chopped,1 Red Bell pepper (Capsicum) - finely chopped,1 Onion - finely  chopped,4 cloves Garlic - finely diced,1 teaspoon Dried Thyme Leaves,1 teaspoon Rosemary,1 teaspoon Red Chilli flakes,Salt - to taste,500 grams Tomatoes,1 Onion - finely chopped,8 cloves Garlic - finely chopped,2 teaspoons Black pepper corns - crushed,2 teaspoon Red Chilli flakes,1 teaspoon Sugar,1/4 cup Basil leaves - chopped,Salt - to taste"
thengai sadam recipe (a quick and healthy coconut rice),Vegetarian,"1 cup Fresh coconut - grated,2-1/2 cups Cooked rice,1 teaspoon Mustard seeds,2 teaspoons White Urad Dal (Split),2 teaspoons Chana dal (Bengal Gram Dal),1 Raw Peanuts (Moongphali) - fistful,1 sprig Curry leaves,3 or 4 Green Chillies - finely chopped,1 teaspoon Ginger - grated,1 + 1 tablespoon Coconut Oil,Salt - to taste"
karwar style ambade udid methi recipe - hog plum curry,Vegetarian,"5 Hog Plum (Amtekai) - (Ambade),3/4 cup Fresh coconut - grated,1/4 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander (Dhania) Seeds,1 teaspoon Black Urad Dal (Split),1 teaspoon Rice - (raw rice),1/4 teaspoon Methi Seeds (Fenugreek Seeds),6 Whole Black Peppercorns,4 Dry Red Chilli,2 tablespoons Jaggery,1 pinch Asafoetida (hing),1 Karela (Bitter Gourd/ Pavakkai) - (Small),Salt - to taste,2 teaspoons Sunflower Oil,2 teaspoons Sunflower Oil,1/2 teaspoon Mustard seeds,1 pinch Asafoetida (hing)"
roasted cauliflower recipe,Vegetarian,"2 cups Cauliflower (gobi),4 Garlic - sliced,2 teaspoon Cumin seeds (Jeera) - roasted and crushed,1 teaspoon Coriander Powder (Dhania),2 teaspoon Black pepper powder - or red chilli powder,3 tablespoon Extra Virgin Olive Oil,1/4 cup Anardana Powder (Pomegranate Seed Powder),2 tablespoons Pomegranate molasses - orhoney (optional but recommended),Fresh Herbs - Handful of herbs of choice like basil,Salt - to taste"
pain viennois | vienna bread recipe,Eggetarian,"325 ml Lukewarm Water,14 grams Active dry yeast,2 tablespoons Sugar,30 grams Milk Powder,500 grams Vivatta Maida - or half of bread flour,1 tablespoon Salt - or to taste,3 tablespoons Butter (unsalted),Egg white - for brushing (or milk)"
crunchy ginger capsicum rice recipe,Vegetarian,"2 cups Basmati rice - cooked,1 Yellow Bell Pepper (Capsicum),1 Red Bell pepper (Capsicum),1 Green Bell Pepper (Capsicum),2 Green Chillies - finely chopped,2 inch Ginger - grated,2 teaspoon Butter,2 teaspoon Sesame seeds (Til seeds) - mixed black and white,Salt - to taste"
bengali chirer payesh / poha pudding recipe with nolen gur,Vegetarian,"1/2 cup Poha (Flattened rice),2 tablespoons Rice flour,2 1/2 liter Milk,1 cup Nolen Gur - or brown sugar,2 Cardamom (Elaichi) Pods/Seeds,8-10 Mixed nuts - almonds/cashews,1 tablespoon Raisins,1 pinch Saffron strands - and a little more for garnish,pinch Salt"
makhan recipe (homemade butter),Vegetarian,"2 cups Fresh cream,1 cup Water"
shanghai style chap nian gao recipes (stir fried rice cakes recipes),Vegetarian,"1 cup Rice flour,Salt - to taste,Sunflower Oil - for cooking,1 Bok Choy - sliced,1 Carrot (Gajjar) - thinly sliced,1/2 cup Cabbage (Patta Gobi/ Muttaikose),1/2 cup Button mushrooms - quartered,2 tablespoons Corn flour,1 tablespoon Dark soy sauce,1 tablespoon Bean Paste,1 teaspoon Red Chilli sauce,1 teaspoon Sugar,Sunflower Oil - for cooking,Salt - to taste"
white pumpkin mor kuzhambu recipe - kerala style white pumpkin curry,Vegetarian,"1-1/2 cups Curd (Dahi / Yogurt) - thick,1/2 cup Fresh coconut,1 cup Vellai Poosanikai (Ash gourd/White Pumpkin) - cubed,4 Green Chillies,1/4 teaspoon Black pepper powder,1/3 cup Water,1/4 teaspoon Turmeric powder (Haldi),Salt - as per your taste,1 teaspoon Coconut Oil,1/4 teaspoon Mustard seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 sprig Curry leaves,1 Dry Red Chilli"
पनीर और हरे मटर का पराठा रेसिपी - paneer and green peas paratha recipe,High Protein Vegetarian,"1/2 कप हरे मटर - पेस्ट बना ले,1 कप पनीर - क्रम्ब्ल कर ले,1 इंच अदरक - काट ले,1 हरी मिर्च - काट ले,1 छोटा चम्मच हल्दी पाउडर,2 छोटे चम्मच लाल मिर्च पाउडर,1 छोटा चम्मच अमचूर पाउडर,1 छोटा चम्मच धनिया पाउडर,नमक - स्वाद अनुसार,1 कप गेहूं का आटा,नमक - स्वाद अनुसार,तेल - प्रयोग अनुसार,पानी - गुनगुना"
सेनाइ पचड़ी रेसिपी - elephant yam raita (recipe in hindi),Vegetarian,"250 ग्राम एलीफैंट येम,1/2 हरी मिर्च,1 इंच अदरक,3 बड़े चमच्च हरा धनिया - काट ले,नमक - स्वाद अनुसार,1 कप दही,1 छोटा चमच्च तेल,हींग - चुटकी भर,1-1/2 छोटा चमच्च राइ,1-1/2 छोटा चमच्च काली उरद दाल (स्प्लिट)"
ड्रंकन नूडल्स रेसिपी - drunken noodles recipe,Vegetarian,"200 ग्राम राइस नूडल्स,1/2 कप बेबी कॉर्न - काट ले,1/4 कप शिमला मिर्च (लाल) - काट ले,1/4 कप शिमला मिर्च (पिली) - काट ले,1/4 कप शिमला मिर्च (हरी) - काट ले,1/4 कप थाई बेसिल के पत्ते - काट ले,1/3 कप हरे प्याज,6 कली लहसुन - बारीक काट ले,1 इंच अदरक - बारीक काट ले,1/2 बड़ा चम्मच ब्राउन शक्कर,1/2 बड़ा चम्मच शहद,1 बड़ा चम्मच सोया सॉस,1 बड़ा चम्मच फिश सॉस,1 बड़ा चम्मच श्रीराचा सॉस"
chettinad style prawn biryani recipe,Non Vegeterian,"200 grams Shrimps - or prawns,1-1/2 cups Basmati rice,4-5 Shallots,1 tablespoon Ginger - paste,1 tablespoon Garlic - paste,3 tablespoons Fresh coconut - grated,1 teaspoon Green Chilli - paste,1/2 cup Hung Curd (Greek Yogurt),2 sprig Curry leaves,1 cup Sunflower Oil,2 tablespoons Ghee,1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,5-6 Whole Black Peppercorns,4 Cardamom (Elaichi) Pods/Seeds,2 Black cardamom (Badi Elaichi),1 inch Cinnamon Stick (Dalchini),2 Bay leaves (tej patta),2-3 Dry Red Chilli,1/2 teaspoon Cumin seeds (Jeera)"
walnut and flax seed trail mix recipe with figs and honey,Vegetarian,"1 cup Walnuts,1 cup Dried Figs,1/3 cup Flax seeds,1/3 cup Honey,1/2 cup Roasted Peanuts (Moongphali),1 teaspoon Cinnamon Powder (Dalchini)"
murgh malaiwala recipe - chicken in rich creamy gravy,Non Vegeterian,"500 gram Chicken - cut into pieces,2 teaspoon Ginger - paste,1 teaspoon Garlic - paste,2 tablespoon Fresh cream,1 tablespoon Badam (Almond) - paste,1/2 teaspoon Lemon juice,1/4 teaspoon Black pepper powder,Salt - to taste,1 Onion - sliced,1/2 cup Fresh cream,1 cup Milk,2 Cardamom Powder (Elaichi),1 inch Cinnamon Stick (Dalchini),2 Bay leaf (tej patta),2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),4 teaspoon Ghee"
paal kesari recipe - south indian style milk kesari,Vegetarian,"1/2 cup Sooji (Semolina/ Rava),1/2 teaspoon Ghee - for roasting the rava,3 cups Milk,3/4 cup Sugar,5 Saffron strands - (lightly powdered using mortar and pestle),1 Cardamom (Elaichi) Pods/Seeds - crushed (optional),1 teaspoon Ghee,5 Cashew nuts,5 Raisins,1 Mixed dry fruits - chopped"
spicy lemon chicken kebab recipe,Non Vegeterian,"1 Chicken breasts - cut into cubes,1 Red Bell pepper (Capsicum) - cut into squares,1 Onion - cut into chunks,1 Lemon juice,1 teaspoon Dried Thyme Leaves,1 teaspoon Red Chilli flakes,1 teaspoon Black pepper powder,2 tablespoon Extra Virgin Olive Oil,Salt - to taste"
पनीर बटर मसाला बिरयानी रेसिपी - layered paneer butter masala biryani recipe,Vegetarian,"1 कप चावल,2 कप पानी,1 छोटा चम्मच घी,1 इलाइची,2 लॉन्ग,1 स्टार अनीस,1/2 इंच दालचीनी,2 पूरी काली मिर्च,नमक - स्वाद अनुसार,1 तेज पत्ता,1/4 कप प्याज - तल ले,1 टहनी हरा धनिया,1 टहनी पुदीना,200 ग्राम पनीर - 1/2 इंच के क्यूब में काट ले,2 टमाटर,2 बड़े चम्मच क्रीम,1 प्याज - काट ले,1 इंच अदरक,3 कली लहसुन,1 हरी मिर्च,1 छोटा चम्मच इलाइची पाउडर,1/2 छोटा चम्मच जीरा पाउडर,1/2 छोटा चम्मच गरम मसाला पाउडर,1/2 छोटा चम्मच लाल मिर्च पाउडर,1 छोटा चम्मच कसूरी मेथी,1 छोटा चम्मच शहद,नमक - स्वाद अनुसार,तेल - प्रयोग अनुसार,1 बड़ा चम्मच काजू - गार्निश के लिए"
